Run,Reward
1,-4.15
2,-3.86
3,-5.58
4,-3.04
5,-3.98
6,-3.94
7,-4.09
8,-3.66
9,-3.75
10,-2.98
11,-4.76
12,-4.68
13,-3.49
14,-2.8
15,-2.8
16,-4.21
17,-3.41
18,-3.73
19,-3.23
20,-2.81
21,-4.01
22,-3.59
23,-2.89
24,-3.97
25,-3.9
26,-4.7
27,-4.2
28,-3.39
29,-3.69
30,-2.58
